chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain	delta	midpoint
Path38 : 20	1	64333719	q13.31	gneg	q13	Path38	-	20	True	56400000	57800000	gneg	0	Path38 : 20	20	q13.3	gneg	7933718	32166860.0
Path39 : 21	1	46697231	q22.3	gneg	q22	Path39	+	21	False	41200000	46697230	gneg	0	Path39 : 21	21	q22	gneg	16497230	23348616.0
Path4 : 2	1	241960639	q37.3	gneg	q37	Path4	+	2	True	241879153	242175920	gneg	0	Path4 : 2	2	q37	gneg	12065900	120980320.0
Path40 : 21	1	46697231	q22.11	gneg	q22	Path40	-	21	True	30200000	34400000	gneg	0	Path40 : 21	21	q22	gneg	16497230	23348616.0
Path41 : 22	1	50805588	q13.33	gneg	q13	Path41	+	22	False	49100000	50805587	gneg	0	Path41 : 22	22	q13	gneg	13605587	25402794.5
Path42 : 22	1	50805588	q13.1	gneg	q13	Path42	-	22	True	37200000	40600000	gneg	0	Path42 : 22	22	q13	gneg	13605587	25402794.5
Path43 : X	1	156025613	q28	gneg	q28	Path43	+	X	False	148000000	156025612	gneg	0	Path43 : X	23	q28	gneg	8025612	78012807.0
Path44 : X	1	156025613	q28	gneg	q28	Path44	-	X	False	148000000	156025612	gneg	0	Path44 : X	23	q28	gneg	8025612	78012807.0
Path5 : 3	1	198230595	q29	gneg	q29	Path5	+	3	True	192600000	198230596	gneg	0	Path5 : 3	3	q29	gneg	5630596	99115298.0
Path6 : 3	1	198230595	q29	gneg	q29	Path6	-	3	False	192600000	198230596	gneg	0	Path6 : 3	3	q29	gneg	5630596	99115298.0
Path7 : 4	1	190202565	q35.2	gpos25	q35	Path7	+	4	False	186200000	190202564	gneg	0	Path7 : 4	4	q35	gneg	7902564	95101283.0
Path8 : 4	1	190202565	q35.1	gneg	q35	Path8	-	4	True	182300000	186200000	gpos25	0	Path8 : 4	4	q35	gneg	7902564	95101283.0
Path9 : 5	1	181433609	q35.3	gneg	q35	Path9	+	5	True	177100000	181466351	gneg	0	Path9 : 5	5	q35	gneg	12466351	90716805.0
