file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,n_path_diff,approximated_distance,n_approximated_edges,karsim_missed_transition,omkar_missed_transition,SV_missed,CNV_missed,log10_CNV_missed,n_dummies,n_leftover_dummies,n_seg_changed,n_leftover_segchange
23X_1q21_recurrent_microduplication_r1,16,1,['Chr18'],2,2,242034,"[190727, 51307]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,135075,4,1,1,2,170976,5.232935152502812,0,0,0,0
23X_1q21_recurrent_microduplication_r1,17,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,3800,3.57978359661681,0,0,0,0
23X_1q21_recurrent_microduplication_r1,18,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,896,2.9523080096621253,0,0,0,0
23X_1q21_recurrent_microduplication_r1,19,1,['Chr21'],2,2,1161787,"[659491, 502296]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,488143,1,1,0,1,1138985,6.056518004623328,1,0,0,0
23X_1q21_recurrent_microduplication_r1,2,1,['Chr4'],2,2,6758,"[4768, 1990]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,1389,2,1,1,2,6754,3.8295610562993927,0,0,0,0
23X_1q21_recurrent_microduplication_r1,20,1,['Chr22'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,5760,3.760422483423212,0,0,0,0
23X_1q21_recurrent_microduplication_r1,21,1,['ChrX'],2,2,224779,"[194715, 30064]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,164651,2,0,0,0,178327,5.251217103485335,0,0,0,0
23X_1q21_recurrent_microduplication_r1,3,1,['Chr5'],2,2,11088,"[5544, 5544]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,11088,4.044853217267732,0,0,0,0
23X_1q21_recurrent_microduplication_r1,4,2,"['Chr3', 'Chr6']",4,4,1646314,"[230840, 92540, 1316853, 6081]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,103509,8,5,5,10,734772359,8.86615281045418,2,0,0,0
23X_1q21_recurrent_microduplication_r1,5,1,['Chr7'],2,2,1976,"[988, 988]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,1976,3.295786940251609,0,0,0,0
23X_1q21_recurrent_microduplication_r1,6,1,['Chr8'],2,2,808741,"[783720, 25021]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,22995,2,1,0,1,771103,5.887112392764244,0,0,0,0
23X_1q21_recurrent_microduplication_r1,7,1,['Chr9'],2,2,504,"[252, 252]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,504,2.7024305364455254,0,0,0,0
23X_1q21_recurrent_microduplication_r1,8,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,0,0,0,4310,3.6344772701607315,0,0,0,0
23X_1q21_recurrent_microduplication_r1,9,1,['Chr11'],2,2,38438,"[31382, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",0,0,0,2,2,4,38434,4.584715585805137,0,0,0,0
23X_1q21_recurrent_microduplication_r2,0,1,['Chr3'],2,2,1083545,"[1049631, 33914]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,104924,2,1,0,1,1031479,6.0134603905476975,0,0,0,0
23X_1q21_recurrent_microduplication_r2,1,1,['Chr4'],2,2,383186730,"[192992175, 190194555]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,2,2,4,4611070,6.663801715232415,1,0,0,0
23X_1q21_recurrent_microduplication_r2,10,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,9358,3.9711830408561615,0,0,0,0
23X_1q21_recurrent_microduplication_r2,11,2,"['Chr5', 'Chr16']",4,4,63894339,"[63888795, 5544]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,22345,10,1,1,2,31236,4.494655414156861,0,0,0,0
23X_1q21_recurrent_microduplication_r2,12,1,['Chr17'],2,2,63929675,"[34374, 63895301]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,2096,3.321391278311689,0,0,0,0
23X_1q21_recurrent_microduplication_r2,13,1,['Chr18'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,13820,4.14050804303818,0,0,0,0
23X_1q21_recurrent_microduplication_r2,14,1,['Chr19'],2,2,13820,"[6910, 6910]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,3800,3.57978359661681,0,0,0,0
23X_1q21_recurrent_microduplication_r2,15,1,['Chr20'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,896,2.9523080096621253,0,0,0,0
23X_1q21_recurrent_microduplication_r2,16,1,['Chr21'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,5504,3.740678425227455,0,0,0,0
23X_1q21_recurrent_microduplication_r2,17,1,['Chr22'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,5760,3.760422483423212,0,0,0,0
23X_1q21_recurrent_microduplication_r2,18,1,['ChrX'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,10564,4.023828392534886,0,0,0,0
23X_1q21_recurrent_microduplication_r2,2,1,['Chr6'],2,2,18936,"[12855, 6081]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,2,2,4,18932,4.277196495795956,0,0,0,0
23X_1q21_recurrent_microduplication_r2,3,1,['Chr8'],2,2,5020,"[2510, 2510]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,5020,3.7007037171450192,0,0,0,0
23X_1q21_recurrent_microduplication_r2,4,1,['Chr9'],2,2,4632,"[4380, 252]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,2,2,4,4628,3.665393350279712,0,0,0,0
23X_1q21_recurrent_microduplication_r2,5,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,4310,3.6344772701607315,0,0,0,0
23X_1q21_recurrent_microduplication_r2,6,1,['Chr11'],2,2,14112,"[7056, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,14112,4.149588567787744,0,0,0,0
23X_1q21_recurrent_microduplication_r2,7,1,['Chr12'],2,2,195062,"[168224, 26838]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,278577,2,0,0,0,290407,5.463007080432788,1,0,0,0
23X_1q21_recurrent_microduplication_r2,8,4,"['Chr1', 'Chr2', 'Chr7', 'Chr13']",8,8,523942369,"[149159022, 16052, 725417, 149753204, 2802073, 23890279, 197578260, 18062]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,119783,18,8,7,15,198398979,8.297539432859455,0,0,0,0
23X_1q21_recurrent_microduplication_r2,9,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",0,0,0,0,0,0,20870,4.319522449065454,0,0,0,0
23X_22q11-2_distal_deletion_r1,0,1,['Chr1'],2,2,176114,"[156576, 19538]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,140679,5,0,0,0,130954,5.117118768522199,1,0,0,0
23X_22q11-2_distal_deletion_r1,1,1,['Chr2'],2,2,16426,"[14255, 2171]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,12084,8,0,0,0,4342,3.637689819118401,0,0,0,0
23X_22q11-2_distal_deletion_r1,10,1,['Chr11'],2,2,18195164,"[9153157, 9042007]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,1,1,2,18114350,7.258022754794628,1,0,0,0
23X_22q11-2_distal_deletion_r1,11,1,['Chr12'],2,2,123124,"[76754, 46370]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,142707,3,0,0,0,154543,5.189049338547031,1,0,0,0
23X_22q11-2_distal_deletion_r1,12,1,['Chr13'],2,2,4450,"[2225, 2225]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,4450,3.6483600109809315,0,0,0,0
23X_22q11-2_distal_deletion_r1,13,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,20870,4.319522449065454,0,0,0,0
23X_22q11-2_distal_deletion_r1,14,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,9358,3.9711830408561615,0,0,0,0
23X_22q11-2_distal_deletion_r1,15,1,['Chr16'],2,2,7186,"[3593, 3593]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,7186,3.8564872128686307,0,0,0,0
23X_22q11-2_distal_deletion_r1,16,1,['Chr17'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,2096,3.321391278311689,0,0,0,0
23X_22q11-2_distal_deletion_r1,17,1,['Chr18'],2,2,25331248,"[12860550, 12470698]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,22086,6,2,2,4,25297700,7.403081038064567,1,0,0,0
23X_22q11-2_distal_deletion_r1,18,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,3800,3.57978359661681,0,0,0,0
23X_22q11-2_distal_deletion_r1,19,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,896,2.9523080096621253,0,0,0,0
23X_22q11-2_distal_deletion_r1,2,1,['Chr3'],2,2,9924,"[4962, 4962]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,9924,3.9966867556001713,0,0,0,0
23X_22q11-2_distal_deletion_r1,20,1,['Chr21'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,5504,3.740678425227455,0,0,0,0
23X_22q11-2_distal_deletion_r1,21,1,['Chr22'],2,2,239814,"[220463, 19351]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,201112,2,0,0,0,206874,5.315705911806046,0,0,0,0
23X_22q11-2_distal_deletion_r1,22,1,['ChrX'],2,2,10564,"[5282, 5282]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,10564,4.023828392534886,0,0,0,0
23X_22q11-2_distal_deletion_r1,3,1,['Chr4'],2,2,3980,"[1990, 1990]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,3980,3.5998830720736876,0,0,0,0
23X_22q11-2_distal_deletion_r1,4,1,['Chr5'],2,2,11088,"[5544, 5544]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,11088,4.044853217267732,0,0,0,0
23X_22q11-2_distal_deletion_r1,5,1,['Chr6'],3,3,343830334,"[2458376, 869085, 340502873]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,17343,9,2,6,8,169336411,8.228750350880226,2,1,0,0
23X_22q11-2_distal_deletion_r1,6,1,['Chr7'],2,2,1976,"[988, 988]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,1976,3.295786940251609,0,0,0,0
23X_22q11-2_distal_deletion_r1,7,1,['Chr8'],2,2,314174,"[300218, 13956]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,297182,2,0,0,0,300794,5.478269169044339,1,0,0,0
23X_22q11-2_distal_deletion_r1,8,1,['Chr9'],2,2,3620570,"[3620318, 252]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,9250,6,0,0,0,504,2.7024305364455254,1,0,0,0
23X_22q11-2_distal_deletion_r1,9,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",0,0,0,0,0,0,4310,3.6344772701607315,0,0,0,0
23X_22q11-2_distal_deletion_r2,0,1,['Chr2'],2,2,74345,"[38907, 35438]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",0,63551,3,0,0,0,79745,4.901703462381462,1,0,0,0
23X_22q11-2_distal_deletion_r2,1,1,['Chr3'],2,2,398142855,"[2130374, 396012481]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",0,12364,2,1,0,1,398142843,8.600038913272009,0,0,0,0
23X_22q11-2_distal_deletion_r2,10,1,['Chr13'],2,2,4450,"[2225, 2225]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",0,0,0,0,0,0,4450,3.6483600109809315,0,0,0,0
23X_22q11-2_distal_deletion_r2,11,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",0,0,0,0,0,0,20870,4.319522449065454,0,0,0,0
