23X_15q26_overgrowth_r1.1.txt
chr_bin: Chr2-no centromere, path_name: Path3, segment_chr: Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 
chr_bin: Chr2-no centromere, path_name: Path4, segment_chr: Chr2 Chr2 Chr2 
chr_bin: Chr13-multiple centromere: Chr13 Chr13 , path_name: Path25, segment_chr: Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 
chr_bin: Chr15-no centromere, path_name: Path28, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
chr_bin: Chr15-no centromere, path_name: Path29, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
(Chr2, 241879153, 242175920, arm_region, 8+)
(Chr13, 43147308, 52163584, arm_region, 33+)
(Chr13, 18051249, 43147307, arm_region, 33+)
(Chr13, 16000001, 18051248, acrocentric-centromere, 33+)
(Chr13, 0, 15999999, acrocentric-telomere1, 33+)
(Chr15, 101749751, 101971270, arm_region, 42+)
(Chr15, 98842474, 101744858, arm_region, 41+)
(Chr15, 98842474, 101744858, arm_region, 41+)
(Chr15, 98814741, 98833775, arm_region, 40+)
(Chr15, 43269512, 98814740, arm_region, 40+)
(Chr15, 31638354, 35526685, arm_region, 38+)
(Chr15, 19725255, 30767336, arm_region, 36+)
(Chr15, 17052426, 19725254, arm_region, 36+)

23X_Early_onset_Alzheimer_r1.1.txt
chr_bin: Chr10-multiple centromere: Chr2 Chr10 , path_name: Path4, segment_chr: Chr2 Chr2 Chr2 Chr2 Chr10 Chr10 Chr10 
chr_bin: Chr2-no centromere, path_name: Path6, segment_chr: Chr10 Chr10 Chr10 Chr10 Chr2 Chr2 Chr2 
(Chr3, 76135710, 76946946, arm_region, 12+)
(Chr3, 136330744, 136335378, arm_region, 15+)
(Chr3, 136311881, 136330743, arm_region, 15+)
(Chr3, 134781398, 136311880, arm_region, 15+)
(Chr3, 134775360, 134781397, arm_region, 15+)
(Chr3, 134765917, 134775359, arm_region, 15+)
(Chr3, 76946947, 76948546, arm_region, 8+)
(Chr3, 76135710, 76946946, arm_region, 8+)
(Chr3, 76135457, 76135709, arm_region, 8+)
(Chr3, 134781398, 136311880, arm_region, 10+)
(Chr2, 107236268, 108032492, arm_region, 9+)
(Chr2, 108032493, 242181357, arm_region, 6+)
(Chr2, 107236268, 108032492, arm_region, 6+)
(Chr2, 94090558, 107236267, arm_region, 6+)
(Chr2, 92188146, 94090557, centromere, 6+)
(Chr2, 55573279, 92188145, arm_region, 6+)
(Chr2, 55571414, 55573278, arm_region, 6+)
(Chr2, 54917844, 55571413, arm_region, 5+)
(Chr10, 41593522, 77111945, arm_region, 27+)
(Chr10, 39686683, 41593521, centromere, 27+)
(Chr10, 19074, 39686682, arm_region, 27+)
(Chr10, 124345376, 133778994, arm_region, 30+)
(Chr10, 124320474, 124345375, arm_region, 30+)
(Chr10, 122393430, 124319283, arm_region, 29+)
(Chr10, 122393430, 124319283, arm_region, 29+)
(Chr10, 77113297, 122390237, arm_region, 28+)
(Chr10, 77111946, 77113295, arm_region, 28+)
(Chr2, 54917844, 55571413, arm_region, 5+)
(Chr2, 54914858, 54917843, arm_region, 4+)
(Chr2, 10000, 54914857, arm_region, 4+)
(Chr2, 0, 9999, telomere1, 4+)
(Chr11, 12458050, 12458251, arm_region, 46+)
(Chr11, 11271114, 12458049, arm_region, 46+)
(Chr11, 11267760, 11271113, arm_region, 46+)
(Chr11, 11271114, 12458049, arm_region, 32+)
(Chr8, 129416960, 129424286, arm_region, 35+)
(Chr8, 129415002, 129416959, arm_region, 35+)
(Chr8, 128513508, 129415001, arm_region, 35+)
(Chr8, 128508499, 128513507, arm_region, 35+)
(Chr8, 128454877, 128508498, arm_region, 35+)
(Chr8, 128448630, 128454876, arm_region, 35+)
(Chr8, 128513508, 129415001, arm_region, 24+)
(Chr7, 49877777, 49884389, arm_region, 26+)
(Chr7, 48890621, 49877776, arm_region, 26+)
(Chr7, 48890559, 48890620, arm_region, 26+)
(Chr7, 48890621, 49877776, arm_region, 16+)

23X_STS_r2.1.txt
chr_bin: Chr5-multiple centromere: Chr2 Chr5 , path_name: Path4, segment_chr: Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 
chr_bin: Chr2-no centromere, path_name: Path6, segment_chr: Chr5 Chr5 Chr2 Chr2 
chr_bin: Chr2-no centromere, path_name: Path7, segment_chr: Chr2 
chr_bin: Chr6-no centromere, path_name: Path12, segment_chr: Chr6 Chr6 Chr6 Chr6 Chr6 
chr_bin: Chr8-no centromere, path_name: Path19, segment_chr: Chr8 
chr_bin: Chr9-no centromere, path_name: Path20, segment_chr: Chr9 Chr9 Chr9 Chr9 Chr9 Chr9 
chr_bin: Chr9-no centromere, path_name: Path21, segment_chr: Chr9 Chr9 Chr9 
chr_bin: Chr12-multiple centromere: Chr10 Chr12 , path_name: Path23, segment_chr: Chr10 Chr10 Chr10 Chr10 Chr10 Chr12 Chr12 Chr12 Chr12 Chr12 
chr_bin: Chr12-no centromere, path_name: Path25, segment_chr: Chr12 Chr10 Chr12 Chr12 Chr10 Chr10 
(Chr1, 173731348, 173738230, arm_region, 3+)
(Chr1, 166521146, 173731347, arm_region, 3+)
(Chr1, 166520998, 166521145, arm_region, 3+)
(Chr1, 166521146, 173731347, arm_region, 2+)
(Chr5, 67869463, 67878763, arm_region, 28+)
(Chr5, 67854336, 67869462, arm_region, 28+)
(Chr5, 65695339, 67854335, arm_region, 28+)
(Chr5, 65695339, 67854335, arm_region, 20+)
(Chr5, 65695185, 65695338, arm_region, 20+)
(Chr2, 237185587, 242181357, arm_region, 10+)
(Chr8, 6990739, 9157233, arm_region, 36+)
(Chr8, 6971581, 6990738, arm_region, 36+)
(Chr8, 61805, 6971580, arm_region, 36+)
(Chr8, 60000, 61804, arm_region, 36+)
(Chr9, 45518559, 138326093, arm_region, 33+)
(Chr9, 43289106, 45518558, arm_region, 33+)
(Chr9, 19799, 258909, arm_region, 30+)
(Chr10, 133778995, 133787421, arm_region, 53+)
(Chr10, 131415254, 133778994, arm_region, 53+)
(Chr10, 131415254, 133778994, arm_region, 39+)
(Chr10, 117723551, 131415253, arm_region, 39+)
(Chr10, 115351382, 117723550, arm_region, 39+)
(Chr10, 41593522, 115351381, arm_region, 39+)
(Chr10, 39686683, 41593521, centromere, 39+)
(Chr10, 35780326, 39686682, arm_region, 39+)
(Chr10, 35776460, 35780325, arm_region, 39+)
(Chr10, 32656337, 35776459, arm_region, 38+)
(Chr10, 32649655, 32656336, arm_region, 37+)
(Chr10, 25144556, 32649654, arm_region, 37+)
(Chr12, 81104279, 81109358, arm_region, 42+)
(Chr12, 72159864, 81104278, arm_region, 42+)
(Chr12, 72157989, 72159863, arm_region, 42+)
(Chr12, 37185253, 72157988, arm_region, 41+)
(Chr12, 34769408, 37185252, centromere, 41+)
(Chr12, 10000, 34769407, arm_region, 41+)
(Chr12, 0, 9999, telomere1, 41+)
(Chr12, 98529697, 133263960, arm_region, 44+)
(Chr12, 98528492, 98529695, arm_region, 44+)
(Chr10, 32656337, 35776459, arm_region, 38+)
(Chr12, 81109359, 98528491, arm_region, 43+)
(Chr12, 81104279, 81109358, arm_region, 42+)
(Chr12, 72159864, 81104278, arm_region, 42+)
(Chr12, 72157989, 72159863, arm_region, 42+)
(Chr10, 25142743, 25144555, arm_region, 36+)
(Chr10, 15255849, 25142741, arm_region, 36+)
(Chr10, 15251268, 15255848, arm_region, 36+)
(Chr10, 19074, 11291050, arm_region, 34+)

23Y_WAGR_11p13_deletion_r2.1.txt
chr_bin: Chr11-multiple centromere: Chr4 Chr11 , path_name: Path7, segment_chr: Chr4 Chr4 Chr4 Chr4 Chr4 Chr11 Chr11 Chr11 
chr_bin: Chr11-no centromere, path_name: Path9, segment_chr: Chr11 Chr11 Chr4 Chr4 
chr_bin: Chr21-no centromere, path_name: Path41, segment_chr: Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 
chr_bin: Chr21-no centromere, path_name: Path42, segment_chr: Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 
chr_bin: Chr21-no centromere, path_name: Path43, segment_chr: Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 Chr21 
(Chr3, 114840607, 114852144, arm_region, 9+)
(Chr3, 114828606, 114840606, arm_region, 9+)
(Chr3, 108548862, 114828605, arm_region, 9+)
(Chr3, 108539317, 108548861, arm_region, 9+)
(Chr3, 108388256, 108539316, arm_region, 9+)
(Chr3, 108548862, 114828605, arm_region, 7+)
(Chr10, 24033956, 28516125, arm_region, 28+)
(Chr10, 28516126, 28522405, arm_region, 20+)
(Chr10, 24033956, 28516125, arm_region, 20+)
(Chr10, 24031597, 24033955, arm_region, 20+)
(Chr15, 92844601, 92852477, arm_region, 51+)
(Chr15, 87771180, 92844600, arm_region, 51+)
(Chr15, 87770989, 87771179, arm_region, 51+)
(Chr15, 87771180, 92844600, arm_region, 36+)
(Chr18, 32381006, 38879637, arm_region, 59+)
(Chr18, 32377723, 32381005, arm_region, 59+)
(Chr18, 54712479, 54715824, arm_region, 61+)
(Chr18, 49269792, 54712478, arm_region, 61+)
(Chr18, 38879638, 38886054, arm_region, 43+)
(Chr18, 32381006, 38879637, arm_region, 43+)
(Chr18, 49269792, 54712478, arm_region, 45+)
(Chr18, 49268875, 49269791, arm_region, 45+)
(Chr21, 46439509, 46696217, arm_region, 53+)
(Chr21, 37218852, 46429654, arm_region, 52+)
(Chr21, 35241424, 37218132, arm_region, 51+)
(Chr21, 12915809, 35218786, arm_region, 50+)
(Chr21, 12406577, 12915808, arm_region, 50+)
(Chr21, 10864561, 12282697, arm_region, 49+)
(Chr21, 5015860, 10864559, arm_region, 49+)

23Y_Cri_du_Chat_r2.1.txt
chr_bin: Chr5-no centromere, path_name: Path9, segment_chr: Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 
chr_bin: Chr5-no centromere, path_name: Path10, segment_chr: Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 
chr_bin: Chr5-no centromere, path_name: Path11, segment_chr: Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 
chr_bin: Chr5-no centromere, path_name: Path12, segment_chr: Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 Chr5 
chr_bin: Chr8-multiple centromere: Chr6 Chr8 , path_name: Path13, segment_chr: Chr6 Chr6 Chr6 Chr6 Chr6 Chr6 Chr6 Chr8 Chr8 Chr8 Chr8 Chr8 
chr_bin: Chr8-no centromere, path_name: Path15, segment_chr: Chr8 Chr8 Chr6 Chr6 
chr_bin: Chr9-multiple centromere: Chr6 Chr9 , path_name: Path16, segment_chr: Chr6 Chr6 Chr6 Chr6 Chr9 Chr9 Chr9 Chr9 Chr9 Chr9 
chr_bin: Chr6-no centromere, path_name: Path18, segment_chr: Chr9 Chr9 Chr6 Chr6 
chr_bin: Chr13-no centromere, path_name: Path27, segment_chr: Chr13 Chr13 Chr13 Chr13 
chr_bin: Chr13-no centromere, path_name: Path28, segment_chr: Chr13 Chr13 Chr13 Chr13 Chr13 
(Chr5, 87914548, 88024582, arm_region, 15+)
(Chr5, 87910575, 87914547, arm_region, 15+)
(Chr5, 83800314, 87910574, arm_region, 15+)
(Chr5, 181323131, 181466351, arm_region, 21+)
(Chr5, 150636247, 181308173, arm_region, 20+)
(Chr5, 149751772, 150632369, arm_region, 19+)
(Chr5, 143156030, 149747354, arm_region, 18+)
(Chr5, 129463303, 143150913, arm_region, 17+)
(Chr5, 88027018, 129454977, arm_region, 16+)
(Chr5, 88024583, 88027017, arm_region, 15+)
(Chr5, 87914548, 88024582, arm_region, 15+)
(Chr5, 83800314, 87910574, arm_region, 14+)
(Chr5, 83798969, 83800313, arm_region, 14+)
(Chr5, 70653793, 83792637, arm_region, 13+)
(Chr5, 69477200, 70645849, arm_region, 12+)
(Chr5, 50059808, 69476011, arm_region, 11+)
(Chr5, 49709239, 50059807, arm_region, 11+)
(Chr5, 46485901, 49668515, arm_region, 10+)
(Chr5, 46421476, 46485900, arm_region, 10+)
(Chr5, 12729018, 46400789, arm_region, 9+)
(Chr5, 150636247, 181308173, arm_region, 20+)
(Chr5, 149751772, 150632369, arm_region, 19+)
(Chr5, 143156030, 149747354, arm_region, 18+)
(Chr5, 129463303, 143150913, arm_region, 17+)
(Chr5, 88027018, 129454977, arm_region, 16+)
(Chr5, 83800314, 87910574, arm_region, 14+)
(Chr5, 83798969, 83800313, arm_region, 14+)
(Chr5, 70653793, 83792637, arm_region, 13+)
(Chr5, 50059808, 69476011, arm_region, 11+)
(Chr5, 49709239, 50059807, arm_region, 11+)
(Chr5, 19924, 254156, arm_region, 7+)
(Chr8, 47777914, 52947048, arm_region, 29+)
(Chr8, 52947049, 52948081, arm_region, 30+)
(Chr8, 47777914, 52947048, arm_region, 30+)
(Chr8, 47765522, 47777913, arm_region, 30+)
(Chr6, 99571925, 170739897, arm_region, 26+)
(Chr6, 99571234, 99571924, arm_region, 26+)
(Chr6, 90073958, 90074588, arm_region, 24+)
(Chr6, 59829935, 90073957, arm_region, 24+)
(Chr6, 58553889, 59829934, centromere, 24+)
(Chr6, 46292093, 58553888, arm_region, 24+)
(Chr9, 110130582, 119638551, arm_region, 35+)
(Chr9, 110124458, 110130581, arm_region, 34+)
(Chr9, 72991760, 110124457, arm_region, 34+)
(Chr9, 66255741, 72983472, arm_region, 33+)
(Chr9, 45518559, 66250439, arm_region, 32+)
(Chr9, 43236168, 45518558, centromere, 32+)
(Chr9, 19799, 43236167, arm_region, 32+)
(Chr9, 119639281, 138326093, arm_region, 36+)
(Chr9, 119638552, 119639280, arm_region, 36+)
(Chr9, 110130582, 119638551, arm_region, 35+)
(Chr6, 40855762, 40856891, arm_region, 22+)
(Chr6, 60000, 40855761, arm_region, 22+)
(Chr6, 0, 59999, telomere1, 22+)
(Chr10, 72258768, 76841522, arm_region, 37+)
(Chr10, 76841523, 76845029, arm_region, 38+)
(Chr10, 72258768, 76841522, arm_region, 38+)
(Chr10, 72258170, 72258767, arm_region, 38+)
(Chr13, 49771945, 49794278, arm_region, 45+)
(Chr13, 49750549, 49771944, arm_region, 45+)
(Chr13, 42489414, 49750548, arm_region, 45+)
(Chr13, 42466940, 42489413, arm_region, 45+)
(Chr13, 42442301, 42466939, arm_region, 45+)
(Chr13, 49794279, 114350910, arm_region, 44+)
(Chr13, 49771945, 49794278, arm_region, 44+)
(Chr13, 42489414, 49750548, arm_region, 43+)
(Chr13, 42442301, 42466939, arm_region, 42+)
(Chr13, 18051249, 42442300, arm_region, 42+)
(Chr13, 16010361, 18051248, arm_region, 42+)

23Y_1q21_recurrent_microdeletion_r2.1.txt
chr_bin: Chr8-no centromere, path_name: Path2, segment_chr: Chr1 Chr8 Chr8 
chr_bin: Chr9-no centromere, path_name: Path4, segment_chr: Chr8 Chr8 Chr9 Chr9 
chr_bin: Chr9-no centromere, path_name: Path6, segment_chr: Chr9 Chr9 Chr3 
chr_bin: Chr1-multiple centromere: Chr3 Chr9 Chr8 Chr1 , path_name: Path8, segment_chr: Chr3 Chr3 Chr3 Chr3 Chr3 Chr3 Chr3 Chr3 Chr9 Chr9 Chr9 Chr9 Chr8 Chr8 Chr8 Chr8 Chr1 Chr1 Chr1 Chr1 Chr1 Chr1 Chr1 Chr1 
chr_bin: Chr11-multiple centromere: Chr2 Chr11 , path_name: Path10, segment_chr: Chr2 Chr2 Chr2 Chr2 Chr2 Chr2 Chr11 Chr11 Chr11 Chr11 Chr11 
chr_bin: Chr11-no centromere, path_name: Path12, segment_chr: Chr11 Chr11 Chr2 
chr_bin: Chr13-no centromere, path_name: Path25, segment_chr: Chr13 Chr13 Chr13 Chr13 
chr_bin: Chr13-no centromere, path_name: Path26, segment_chr: Chr13 Chr13 Chr13 Chr13 Chr13 
(Chr6, 74068264, 74141377, arm_region, 31+)
(Chr6, 74063874, 74068263, arm_region, 31+)
(Chr6, 72935117, 74063873, arm_region, 31+)
(Chr6, 74141378, 74143806, arm_region, 25+)
(Chr6, 74068264, 74141377, arm_region, 25+)
(Chr6, 72935117, 74063873, arm_region, 24+)
(Chr6, 72931670, 72935116, arm_region, 24+)
(Chr1, 41775324, 41934107, arm_region, 2+)
(Chr1, 41774748, 41775323, arm_region, 2+)
(Chr1, 40518468, 41774747, arm_region, 2+)
(Chr3, 124476149, 124567229, arm_region, 19+)
(Chr3, 124474913, 124476148, arm_region, 19+)
(Chr3, 122825620, 124474912, arm_region, 19+)
(Chr3, 122823506, 122825619, arm_region, 19+)
(Chr3, 122760084, 122823505, arm_region, 19+)
(Chr3, 122756232, 122760083, arm_region, 19+)
(Chr1, 185959237, 248942320, arm_region, 7+)
(Chr1, 185954043, 185959236, arm_region, 7+)
(Chr8, 32871214, 32875965, arm_region, 28+)
(Chr8, 60000, 32871212, arm_region, 28+)
(Chr8, 0, 59999, telomere1, 28+)
(Chr8, 82537211, 145076125, arm_region, 31+)
(Chr8, 82535853, 82537210, arm_region, 31+)
(Chr8, 81261656, 82535852, arm_region, 30+)
(Chr9, 28056723, 28057393, arm_region, 32+)
(Chr9, 10000, 28056721, arm_region, 32+)
(Chr9, 0, 9999, telomere1, 32+)
(Chr9, 84962742, 138334464, arm_region, 35+)
(Chr9, 84960053, 84962741, arm_region, 35+)
(Chr9, 84188186, 84960052, arm_region, 34+)
(Chr3, 17438, 13080569, arm_region, 13+)
(Chr3, 124576455, 198217553, arm_region, 18+)
(Chr3, 124567230, 124576454, arm_region, 17+)
(Chr3, 124476149, 124567229, arm_region, 17+)
(Chr3, 122825620, 124474912, arm_region, 16+)
(Chr3, 122825620, 124474912, arm_region, 16+)
(Chr3, 122760084, 122823505, arm_region, 15+)
(Chr3, 122756232, 122760083, arm_region, 14+)
(Chr3, 93655575, 122756231, arm_region, 14+)
(Chr3, 90772459, 93655574, centromere, 14+)
(Chr3, 13089765, 90772458, arm_region, 14+)
(Chr3, 13080570, 13089763, arm_region, 14+)
(Chr9, 84188186, 84960052, arm_region, 34+)
(Chr9, 84186541, 84188185, arm_region, 33+)
(Chr9, 45518559, 84186540, arm_region, 33+)
(Chr9, 43236168, 45518558, centromere, 33+)
(Chr9, 28057394, 43236167, arm_region, 33+)
(Chr8, 81261656, 82535852, arm_region, 30+)
(Chr8, 81261471, 81261655, arm_region, 29+)
(Chr8, 45877266, 81261470, arm_region, 29+)
(Chr8, 44033745, 45877265, centromere, 29+)
(Chr8, 32875966, 44033744, arm_region, 29+)
(Chr1, 185129087, 185954042, arm_region, 6+)
(Chr1, 148413697, 185129086, arm_region, 6+)
(Chr1, 125184588, 147048545, arm_region, 4+)
(Chr1, 122026460, 125184587, centromere, 4+)
(Chr1, 41936521, 122026459, arm_region, 4+)
(Chr1, 40518468, 41774747, arm_region, 2+)
(Chr1, 40517987, 40518467, arm_region, 2+)
(Chr1, 19686, 40505403, arm_region, 1+)
(Chr10, 46991593, 48060267, arm_region, 37+)
(Chr2, 169332637, 242175920, arm_region, 12+)
(Chr2, 169262369, 169332636, arm_region, 12+)
(Chr2, 167605191, 169252765, arm_region, 11+)
(Chr2, 167593132, 167605190, arm_region, 11+)
(Chr2, 167605191, 169252765, arm_region, 11+)
(Chr2, 167593132, 167605190, arm_region, 11+)
(Chr2, 94090558, 167583898, arm_region, 10+)
(Chr2, 92188146, 94090557, centromere, 10+)
(Chr2, 18277030, 92188145, arm_region, 10+)
(Chr2, 18276182, 18277029, arm_region, 10+)
(Chr11, 73792601, 75620387, arm_region, 40+)
(Chr11, 73792026, 73792600, arm_region, 40+)
(Chr11, 54425075, 73792025, arm_region, 39+)
(Chr11, 51078349, 54425074, centromere, 39+)
(Chr11, 60000, 51078348, arm_region, 39+)
(Chr11, 0, 59999, telomere1, 39+)
(Chr11, 75621368, 135069565, arm_region, 41+)
(Chr11, 75620388, 75621367, arm_region, 41+)
(Chr11, 73792601, 75620387, arm_region, 40+)
(Chr11, 73792026, 73792600, arm_region, 40+)
(Chr2, 17105798, 17108121, arm_region, 8+)
(Chr2, 22064, 17105797, arm_region, 8+)
(Chr12, 65435657, 65437142, arm_region, 55+)
(Chr12, 63788220, 65435656, arm_region, 55+)
(Chr12, 63788220, 65435656, arm_region, 43+)
(Chr12, 63787602, 63788219, arm_region, 43+)
(Chr13, 50995221, 114350910, arm_region, 47+)
(Chr13, 50994566, 50995220, arm_region, 47+)
(Chr13, 50480710, 50993749, arm_region, 46+)
(Chr13, 50480710, 50993749, arm_region, 46+)
(Chr13, 18051249, 50476936, arm_region, 45+)
(Chr13, 16010361, 18051248, arm_region, 45+)
(Chr15, 63472300, 65425670, arm_region, 65+)
(Chr15, 63471837, 63472299, arm_region, 65+)
(Chr15, 65425671, 65430342, arm_region, 50+)
(Chr15, 63472300, 65425670, arm_region, 50+)

23Y_WAGR_11p13_deletion_r1.1.txt
chr_bin: Chr4-no centromere, path_name: Path8, segment_chr: Chr4 
chr_bin: Chr10-no centromere, path_name: Path19, segment_chr: Chr10 Chr10 Chr10 Chr10 
chr_bin: Chr10-no centromere, path_name: Path20, segment_chr: Chr10 Chr10 
chr_bin: Chr13-no centromere, path_name: Path26, segment_chr: Chr12 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 
chr_bin: Chr13-no centromere, path_name: Path27, segment_chr: Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 Chr13 
(Chr2, 214225191, 217975733, arm_region, 9+)
(Chr2, 214224744, 214225190, arm_region, 9+)
(Chr2, 217975734, 217977603, arm_region, 8+)
(Chr2, 214225191, 217975733, arm_region, 8+)
(Chr10, 133571442, 133778994, arm_region, 25+)
(Chr10, 19074, 39607821, arm_region, 23+)
(Chr13, 80939928, 81011555, arm_region, 43+)
(Chr13, 80928406, 80939927, arm_region, 43+)
(Chr13, 72877469, 80928405, arm_region, 43+)
(Chr13, 72874887, 72877468, arm_region, 43+)
(Chr13, 72790678, 72874886, arm_region, 43+)
(Chr13, 72789006, 72790677, arm_region, 43+)
(Chr12, 51811778, 133263960, arm_region, 32+)
(Chr12, 51811004, 51811776, arm_region, 32+)
(Chr13, 107262812, 107264269, arm_region, 38+)
(Chr13, 98992325, 107262811, arm_region, 38+)
(Chr13, 98991945, 98992324, arm_region, 38+)
(Chr13, 81011879, 98991944, arm_region, 37+)
(Chr13, 81011556, 81011878, arm_region, 36+)
(Chr13, 80939928, 81011555, arm_region, 36+)
(Chr13, 72877469, 80928405, arm_region, 35+)
(Chr13, 72790678, 72874886, arm_region, 34+)
(Chr13, 72789006, 72790677, arm_region, 33+)
(Chr13, 18051249, 72789005, arm_region, 33+)
(Chr13, 16010361, 18051248, arm_region, 33+)

23X_Angelman_r1.1.txt
chr_bin: Chr15-no centromere, path_name: Path29, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
chr_bin: Chr15-no centromere, path_name: Path30, segment_chr: Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 Chr15 
(Chr2, 48699768, 54116976, arm_region, 6+)
(Chr2, 48698894, 48699767, arm_region, 6+)
(Chr2, 188862379, 188929235, arm_region, 9+)
(Chr2, 188861310, 188862378, arm_region, 9+)
(Chr2, 185136341, 188861309, arm_region, 9+)
(Chr2, 54116977, 54118053, arm_region, 5+)
(Chr2, 48699768, 54116976, arm_region, 5+)
(Chr2, 188929236, 188939570, arm_region, 8+)
(Chr2, 188862379, 188929235, arm_region, 8+)
(Chr2, 185136341, 188861309, arm_region, 7+)
(Chr2, 185128476, 185136340, arm_region, 7+)
(Chr5, 89339958, 89606605, arm_region, 17+)
(Chr5, 89331806, 89339957, arm_region, 17+)
(Chr5, 80543566, 89331805, arm_region, 17+)
(Chr5, 80540842, 80543565, arm_region, 17+)
(Chr5, 80425292, 80540841, arm_region, 17+)
(Chr5, 80424192, 80425291, arm_region, 17+)
(Chr11, 15894852, 16042632, arm_region, 39+)
(Chr11, 15880729, 15894851, arm_region, 39+)
(Chr11, 11973235, 15880728, arm_region, 39+)
(Chr11, 11972345, 11973234, arm_region, 39+)
(Chr11, 11901419, 11972344, arm_region, 39+)
(Chr11, 11895654, 11901418, arm_region, 39+)
(Chr15, 45919307, 45940128, arm_region, 57+)
(Chr15, 45876376, 45919306, arm_region, 57+)
(Chr15, 36267982, 45876375, arm_region, 57+)
(Chr15, 36264572, 36267981, arm_region, 57+)
(Chr15, 36199475, 36264571, arm_region, 57+)
(Chr15, 60283099, 101971270, arm_region, 54+)
(Chr15, 57281262, 57282555, arm_region, 52+)
(Chr15, 45940129, 57281261, arm_region, 52+)
(Chr15, 45919307, 45940128, arm_region, 52+)
(Chr15, 36267982, 45876375, arm_region, 51+)
(Chr15, 36199475, 36264571, arm_region, 50+)
(Chr15, 36193054, 36199474, arm_region, 50+)
(Chr15, 28243124, 36193053, arm_region, 49+)
(Chr15, 19725255, 22113185, arm_region, 47+)
(Chr15, 17052426, 19725254, arm_region, 47+)

23X_22q11_duplication_r2.1.txt
chr_bin: Chr6-no centromere, path_name: Path12, segment_chr: Chr6 Chr15 Chr15 Chr15 
chr_bin: Chr15-no centromere, path_name: Path13, segment_chr: Chr15 Chr15 Chr6 Chr15 Chr15 Chr15 
(Chr3, 102019483, 105154246, arm_region, 9+)
