,file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,histories,n_events,is_event_cluster,n_path_diff,approximated_distance,n_approximated_edges,karsim_missed_transition,n_karsim_missed_transition,n_omkar_missed_transition,SV_missed,CNV_missed,log10_CNV_missed,n_dummies,n_leftover_dummies,n_seg_changed,n_leftover_segchange,n_significant_dummies,n_leftover_significant_dummies,n_significant_seg_change,n_leftover_significant_seg_change,dummy_distance,n_initial_SVs,preILP_similar_SV,n_preILP_similar_SV
346,23Y_2p15-16-1_microdeletion_r2,3,1,['Chr6'],2,3,89981517,"[89915181, 66336]","['Chr1', 'Chr2', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr10', 'Chr12', 'Chr14', 'Chr18']","{'tandem duplication': 1, 'left duplication inversion': 1}",2,True,1,17434,2,"[('Chr6', 89879366, 'Chr6', 84457361), ('Chr6', 87969847, 'Chr6', 90471160)]",2,1,3,967091,5.985467341651159,1,0,0,0,1,0,0,0,[3578071],2,"[('Chr6', 87970506, 'Chr6', 90470603)]",1
355,23Y_8q21_recurrent_microdeletion_r2,10,1,['Chr12'],2,1,260576319,"[131967411, 128608908]","['Chr2', 'Chr4', 'Chr6', 'Chr8', 'Chr10', 'Chr12', 'Chr14', 'Chr16', 'Chr17']","{'deletion': 2, 'left duplication inversion': 1}",3,True,-1,100734,6,[],0,0,0,261762618,8.41790762557798,0,0,1,0,0,0,1,0,[],3,[],0
391,23Y_CMT1A_r1,3,1,['Chr5'],1,2,482396,"[89984, 392412]","['Chr1', 'Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr7', 'Chr7', 'Chr10', 'Chr13', 'Chr14', 'Chr16', 'Chr17', 'Chr18', 'Chr20']",{'chromosomal deletion': 1},1,True,1,0,0,[],0,1,1,420986,5.624267653498748,1,1,1,0,1,1,1,0,[181047274],0,[],0
393,23Y_CMT1A_r1,5,2,"['Chr3', 'Chr7']",5,4,232634535,"[345896, 41577, 113872151, 110766683, 7608228]","['Chr1', 'Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr7', 'Chr7', 'Chr10', 'Chr13', 'Chr14', 'Chr16', 'Chr17', 'Chr18', 'Chr20']","{'left duplication inversion': 2, 'nonreciprocal translocation': 1, 'arm tandem duplication': 1, 'tandem duplication': 1}",5,True,-1,502120,40,[],0,2,2,99455908,7.997630586712227,2,1,1,0,2,1,0,0,"[46082635, 46436085]",7,[],0
413,23Y_CMT1A_r2,4,2,"['Chr5', 'Chr8']",5,4,801598990,"[8062258, 183579005, 529197391, 62583, 80697753]","['Chr1', 'Chr3', 'Chr4', 'Chr5', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr10', 'Chr11', 'Chr13', 'Chr17']","{'balanced reciprocal translocation': 4, 'chromosomal duplication': 1, 'tandem duplication': 2}",7,True,-1,112067,32,[],0,2,2,937621,5.972027325723915,2,0,2,0,2,0,2,0,"[135304749, 45350378]",10,[],0
457,23Y_Cri_du_Chat_r2,4,1,['Chr5'],4,7,642800391,"[334495169, 134992358, 173169336, 143528]","['Chr3', 'Chr5', 'Chr5', 'Chr5', 'Chr6', 'Chr8', 'Chr9', 'Chr10', 'Chr13', 'Chr18']","{'deletion': 1, 'arm tandem duplication': 1, 'chromosomal duplication': 1, 'right duplication inversion': 1}",4,True,3,235737,26,[],0,2,2,71899543,7.856726129976638,3,2,0,0,2,2,0,0,"[46146071, 112469, 888893]",1,[],0
482,23Y_NF1_microdeletion_r1,8,1,['Chr12'],2,3,14112,"[7056, 7056]","['Chr2', 'Chr4', 'Chr5', 'Chr6', 'Chr8', 'Chr12', 'Chr14', 'Chr17']","{'left duplication inversion': 1, 'inversion': 1}",2,True,1,4906,4,"[('Chr12', 124180784, 'Chr12', 133265308)]",1,0,1,18070577,7.256972019960784,0,0,0,0,0,0,0,0,[],3,[],0
487,23Y_NF1_microdeletion_r2,11,2,"['Chr9', 'Chr14']",5,4,438190996,"[128564, 231091236, 108694359, 9566642, 88710195]","['Chr1', 'Chr3', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr9', 'Chr10', 'Chr12', 'Chr14', 'Chr15', 'Chr17', 'Chr20']","{'chromosomal duplication': 1, 'balanced reciprocal translocation': 2, 'tandem duplication': 1, 'left duplication inversion': 1}",5,True,-1,641788,42,[],0,3,3,24894945,7.396111171132752,4,0,2,0,3,0,2,0,"[7747277, 79755, 32311409, 71702256]",7,[],0
501,23Y_NF1_microdeletion_r2,5,2,"['Chr1', 'Chr7']",3,4,18563491,"[18282281, 8828, 988, 271394]","['Chr1', 'Chr3', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr9', 'Chr10', 'Chr12', 'Chr14', 'Chr15', 'Chr17', 'Chr20']","{'nonreciprocal translocation': 1, 'chromosomal deletion': 1}",2,True,1,8446,7,[],0,1,1,18804773,7.274268095246192,1,1,1,0,1,1,0,0,[105390107],2,[],0
511,23Y_Potocki_Shaffer_r1,13,1,['Chr16'],2,1,177738024,"[90218345, 87519679]","['Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr15', 'Chr16', 'Chr20']",{'inversion': 1},1,True,-1,13453,2,[],0,0,0,173818684,8.240096457509498,0,0,1,0,0,0,1,0,[],1,[],0
518,23Y_Potocki_Shaffer_r1,2,1,['Chr3'],1,2,395665859,"[197990545, 197675314]","['Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr15', 'Chr16', 'Chr20']",{'chromosomal deletion': 1},1,True,1,27898,6,[],0,0,0,289078,5.461015041369171,0,0,1,0,0,0,1,0,[],0,[],0
526,23Y_Potocki_Shaffer_r1,8,2,"['Chr9', 'Chr10']",4,3,521488253,"[360801857, 27582672, 133068943, 34781]","['Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr15', 'Chr16', 'Chr20']","{'left duplication inversion': 2, 'deletion': 1, 'nonreciprocal translocation': 1}",4,True,-1,145845,15,"[('Chr10', 3778868, 'Chr9', 110616246)]",1,1,2,63339601,7.801675323260016,1,0,2,0,1,0,1,0,[5602891],6,[],0
569,23Y_WAGR_11p13_deletion_r1,8,1,['Chr9'],3,2,164779193,"[97931, 95098549, 69582713]","['Chr2', 'Chr4', 'Chr9', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr20']",{'arm tandem duplication': 1},1,True,-1,186975,6,[],0,1,1,23460366,7.370334783164868,1,0,1,0,1,0,1,0,[69552406],0,[],0
